graph_slot,source_node_index,source_node_id,source_feature,target_node_index,target_node_id,target_feature,lag_5min_steps,raw_p_value,fdr_bh_q_value,parcorr_value
178,0,400593,flow,0,400593,flow,1,9.301820864876978e-10,3.312767200022139e-08,0.13679024936165055
178,0,400593,flow,0,400593,flow,2,4.7594080922450106e-33,5.3683140883807955e-31,0.2639812655323865
178,0,400593,flow,0,400593,flow,3,6.804998161559526e-14,3.355889504330725e-12,0.16702913717310874
178,0,400593,flow,0,400593,flow,4,1.3095550315050624e-27,1.2166188679788967e-25,0.24081482403917256
178,0,400593,flow,0,400593,flow,5,1.140681870187023e-12,5.117077548502533e-11,0.1586846530783862
178,0,400593,flow,0,400593,flow,6,4.826187587262355e-07,1.229311932604562e-05,0.11265072017243917
178,0,400593,flow,0,400593,flow,7,7.414582146334169e-09,2.3832585470359828e-07,0.12926439614815108
178,0,400593,flow,0,400593,flow,8,3.5933193724302994e-05,0.0006037782842823373,0.09258264031141764
178,0,400593,flow,0,400593,flow,9,6.607489763385487e-08,1.8928617889804578e-06,0.12083854722683565
178,0,400593,flow,0,400593,flow,10,7.740838728749395e-13,3.501615006093967e-11,0.15985854455732942
178,0,400593,flow,0,400593,flow,11,1.1656474127695173e-07,3.2445855819357697e-06,0.11855679532652719
178,0,400593,flow,0,400593,flow,12,0.00046964566787706234,0.00550874093192753,0.07841009747126218
178,0,400593,flow,1,400125,flow,10,0.0031022435909806856,0.02508271067384721,0.06633128638388869
178,0,400593,flow,7,408093,flow,3,0.004362978143757196,0.032745075714091534,-0.0639415722844889
178,0,400593,flow,13,400183,flow,5,1.8435303162738222e-05,0.00033448345091570403,0.09594737399560446
178,0,400593,occupancy,0,400593,flow,1,1.9579638755968035e-23,1.572194041371411e-21,0.22119708335403587
178,0,400593,occupancy,0,400593,flow,2,3.372939161810584e-10,1.2507379552808346e-08,-0.1403228885235416
178,0,400593,occupancy,0,400593,flow,3,6.48505510781137e-17,3.832481267543792e-15,0.18598340442527342
178,0,400593,occupancy,0,400593,flow,4,7.820640489800425e-09,2.5119083208875716e-07,-0.12906540677427597
178,0,400593,occupancy,0,400593,flow,5,2.3056084320654646e-05,0.0004087085936201398,0.09483210484754566
178,0,400593,occupancy,0,400593,flow,10,5.485845425513249e-06,0.0001120469061552262,0.10179254882047105
178,0,400593,occupancy,0,400593,flow,11,5.857473810532552e-06,0.00011868802467870838,0.10148453919773644
178,0,400593,occupancy,1,400125,flow,10,0.003564065612256105,0.027998013745615422,0.06536780265698447
